Location,Cleaned Location,Latitude,Longitude
"3911 W SHERIDAN AV,MKE","3911 W SHERIDAN AV, MILWAUKEE, WI",43.117173,-87.961551
"2130 N 31ST ST,MKE","2130 N 31ST ST, MILWAUKEE, WI",43.058681,-87.95223399999998
"811 N JEFFERSON ST,MKE","811 N JEFFERSST, MILWAUKEE, WI",43.011264,-87.958409
"3626 W FOND DU LAC AV,MKE","3626 W FOND DU LAC AV, MILWAUKEE, WI",43.077239,-87.959228
"3500 W CLARKE ST,MKE","3500 W CLARKE ST, MILWAUKEE, WI",43.065924,-87.957438
"9200 W BLUE MOUND RD,MKE","9200 W BLUE MOUND RD, MILWAUKEE, WI",43.036216,-88.027792
"400 N WATER ST,MKE","400 N WATER ST, MILWAUKEE, WI",43.035231,-87.90802
"3950 N 20TH ST,MKE","3950 N 20TH ST, MILWAUKEE, WI",43.088942,-87.936594
"3372 N OAKLAND AV,MKE","3372 N OAKLAND AV, MILWAUKEE, WI",43.07918,-87.88727800000002
"600 W ROGERS ST,MKE","600 W ROGERS ST, MILWAUKEE, WI",43.008516,-87.918743
"10330 W SILVER SPRING DR,MKE","10330 W SILVER SPRING DR, MILWAUKEE, WI",43.121706,-88.041473
"3033 W LISBON AV,MKE","3033 W LISBAV, MILWAUKEE, WI",43.011264,-87.958409
"6929 W SILVER SPRING DR,MKE","6929 W SILVER SPRING DR, MILWAUKEE, WI",43.118893,-87.998216
"3271 S 57TH ST,MKE","3271 S 57TH ST, MILWAUKEE, WI",42.985069,-87.98562
"8128 W HERBERT AV,MKE","8128 W HERBERT AV, MILWAUKEE, WI",43.108312,-88.01261099999998
"5232 N 91ST ST,MKE","5232 N 91ST ST, MILWAUKEE, WI",43.113375,-88.02516999999996
"1121 W OKLAHOMA AV,MKE","1121 W OKLAHOMA AV, MILWAUKEE, WI",42.987949,-87.926893
"4044 N 44TH ST,MKE","4044 N 44TH ST, MILWAUKEE, WI",43.090885,-87.96799399999998
"1558 S 10TH ST,MKE","1558 S 10TH ST, MILWAUKEE, WI",43.01468,-87.923529
"2356 N BREMEN ST,MKE","2356 N BREMEN ST, MILWAUKEE, WI",43.061474,-87.899979
"4500 W CAPITOL DR,MKE","4500 W CAPITOL DR, MILWAUKEE, WI",43.090162,-87.970021
"2707 W BURLEIGH ST,MKE","2707 W BURLEIGH ST, MILWAUKEE, WI",43.074953,-87.94756600000002
"3438 S ALABAMA AV,MKE","3438 S ALABAMA AV, MILWAUKEE, WI",42.981896,-87.887853
"S 7TH ST / W LAPHAM BL,MKE","S 7TH ST & W LAPHAM BL, MILWAUKEE, WI",43.004646,-87.920067
"N 25TH ST / W KEEFE AV,MKE","N 25TH ST & W KEEFE AV, MILWAUKEE, WI",43.082507,-87.944873
"2302 W STATE ST,MKE","2302 W STATE ST, MILWAUKEE, WI",43.043454,-87.941643
"2558 N 40TH ST,MKE","2558 N 40TH ST, MILWAUKEE, WI",43.065485,-87.962974
"1821 E NORTH AV,MKE","1821 E NORTH AV, MILWAUKEE, WI",43.059968,-87.887828
"5230 W BLUE MOUND RD,MKE","5230 W BLUE MOUND RD, MILWAUKEE, WI",43.036962,-87.97962199999998
"2148 S 15TH ST,MKE","2148 S 15TH ST, MILWAUKEE, WI",43.005364,-87.930637
"2172 W FOREST HOME AV,MKE","2172 W FOREST HOME AV, MILWAUKEE, WI",43.005169,-87.940917
"2920 N VEL R PHILLIPS AV,MKE","2920 N VEL R PHILLIPS AV, MILWAUKEE, WI",43.011264,-87.958409
"2333 N 49TH ST,MKE","2333 N 49TH ST, MILWAUKEE, WI",43.061433,-87.975516
"749 W STATE ST,MKE","749 W STATE ST, MILWAUKEE, WI",43.042662,-87.920879
"3006 S 27TH ST,MKE","3006 S 27TH ST, MILWAUKEE, WI",42.990377,-87.947407
"E WELLS ST / N JEFFERSON ST,MKE","E WELLS ST & N JEFFERSST, MILWAUKEE, WI",43.041185,-87.90678199999998
"245 W LINCOLN AV,MKE","245 W LINCOLN AV, MILWAUKEE, WI",43.002354,-87.913504
"N 8TH ST / W CLARKE ST,MKE","N 8TH ST & W CLARKE ST, MILWAUKEE, WI",43.06577100000001,-87.921464
"2031 W KEEFE AV,MKE","2031 W KEEFE AV, MILWAUKEE, WI",43.082232,-87.93804
"350 N PLANKINTON AV,MKE","350 N PLANKINTAV, MILWAUKEE, WI",43.034331,-87.91083
"4342 N 76TH ST,MKE","4342 N 76TH ST, MILWAUKEE, WI",43.096351,-88.006573
"3722 N 76TH ST,MKE","3722 N 76TH ST, MILWAUKEE, WI",43.085029,-88.00674599999998
"9114 W SILVER SPRING DR,MKE","9114 W SILVER SPRING DR, MILWAUKEE, WI",43.119855,-88.02637
"132 S 78TH ST,MKE","132 S 78TH ST, MILWAUKEE, WI",43.030656,-88.009384
"8708 W VILLARD AV,MKE","8708 W VILLARD AV, MILWAUKEE, WI",43.112542,-88.02186800000001
"545 W LAYTON AV,MKE","545 W LAYTAV, MILWAUKEE, WI",43.011264,-87.958409
"1747 N HUMBOLDT AV,MKE","1747 N HUMBOLDT AV, MILWAUKEE, WI",43.05390300000001,-87.898235
"N 36TH ST / W AUER AV,MKE","N 36TH ST & W AUER AV, MILWAUKEE, WI",43.077014,-87.958488
"N JEFFERSON ST / E WELLS ST,MKE","N JEFFERSST & E WELLS ST, MILWAUKEE, WI",43.011264,-87.958409
"E BUFFALO ST / N JACKSON ST,MKE","E BUFFALO ST & N JACKSST, MILWAUKEE, WI",43.033768,-87.906021
4500 W BURLIEGH ST,"4500 W BURLIEGH ST, MILWAUKEE, WI",43.075454,-87.96998
"8546 W APPLETON AV,MKE","8546 W APPLETAV, MILWAUKEE, WI",43.011264,-87.958409
"6970 N RAINTREE CT,MKE","6970 N RAINTREE CT, MILWAUKEE, WI",43.143536,-87.983058
"2117 N 42ND ST,MKE","2117 N 42ND ST, MILWAUKEE, WI",43.05783,-87.965962
"1969 W VILLARD AV,MKE","1969 W VILLARD AV, MILWAUKEE, WI",43.111355,-87.935761
