Location,Cleaned Location,Latitude,Longitude,Error
"3911 W SHERIDAN AV,MKE","3911 W SHERIDAN AV, MILWAUKEE, WI",43.117173,-87.961551,False
"2130 N 31ST ST,MKE","2130 N 31ST ST, MILWAUKEE, WI",43.058681,-87.95223399999998,False
"811 N JEFFERSON ST,MKE","811 N JEFFERSST, MILWAUKEE, WI",43.011264,-87.958409,False
"3626 W FOND DU LAC AV,MKE","3626 W FOND DU LAC AV, MILWAUKEE, WI",43.077239,-87.959228,False
"3500 W CLARKE ST,MKE","3500 W CLARKE ST, MILWAUKEE, WI",43.065924,-87.957438,False
"9200 W BLUE MOUND RD,MKE","9200 W BLUE MOUND RD, MILWAUKEE, WI",43.036216,-88.027792,False
"400 N WATER ST,MKE","400 N WATER ST, MILWAUKEE, WI",43.035231,-87.90802,False
"3950 N 20TH ST,MKE","3950 N 20TH ST, MILWAUKEE, WI",43.088942,-87.936594,False
"3372 N OAKLAND AV,MKE","3372 N OAKLAND AV, MILWAUKEE, WI",43.07918,-87.88727800000002,False
"600 W ROGERS ST,MKE","600 W ROGERS ST, MILWAUKEE, WI",43.008516,-87.918743,False
"10330 W SILVER SPRING DR,MKE","10330 W SILVER SPRING DR, MILWAUKEE, WI",43.121706,-88.041473,False
"3033 W LISBON AV,MKE","3033 W LISBAV, MILWAUKEE, WI",43.011264,-87.958409,False
"6929 W SILVER SPRING DR,MKE","6929 W SILVER SPRING DR, MILWAUKEE, WI",43.118893,-87.998216,False
"3271 S 57TH ST,MKE","3271 S 57TH ST, MILWAUKEE, WI",42.985069,-87.98562,False
"8128 W HERBERT AV,MKE","8128 W HERBERT AV, MILWAUKEE, WI",43.108312,-88.01261099999998,False
"5232 N 91ST ST,MKE","5232 N 91ST ST, MILWAUKEE, WI",43.113375,-88.02516999999997,False
"1121 W OKLAHOMA AV,MKE","1121 W OKLAHOMA AV, MILWAUKEE, WI",42.987949,-87.926893,False
"4044 N 44TH ST,MKE","4044 N 44TH ST, MILWAUKEE, WI",43.090885,-87.96799399999998,False
"1558 S 10TH ST,MKE","1558 S 10TH ST, MILWAUKEE, WI",43.01468,-87.923529,False
"2356 N BREMEN ST,MKE","2356 N BREMEN ST, MILWAUKEE, WI",43.061474,-87.899979,False
"4500 W CAPITOL DR,MKE","4500 W CAPITOL DR, MILWAUKEE, WI",43.090162,-87.970021,False
"2707 W BURLEIGH ST,MKE","2707 W BURLEIGH ST, MILWAUKEE, WI",43.074953,-87.94756600000002,False
"3438 S ALABAMA AV,MKE","3438 S ALABAMA AV, MILWAUKEE, WI",42.981896,-87.887853,False
"S 7TH ST / W LAPHAM BL,MKE","S 7TH ST & W LAPHAM BL, MILWAUKEE, WI",43.004646,-87.920067,False
"N 25TH ST / W KEEFE AV,MKE","N 25TH ST & W KEEFE AV, MILWAUKEE, WI",43.082507,-87.944873,False
"2302 W STATE ST,MKE","2302 W STATE ST, MILWAUKEE, WI",43.043454,-87.941643,False
"2558 N 40TH ST,MKE","2558 N 40TH ST, MILWAUKEE, WI",43.065485,-87.962974,False
"1821 E NORTH AV,MKE","1821 E NORTH AV, MILWAUKEE, WI",43.059968,-87.887828,False
"5230 W BLUE MOUND RD,MKE","5230 W BLUE MOUND RD, MILWAUKEE, WI",43.036962,-87.97962199999998,False
"2148 S 15TH ST,MKE","2148 S 15TH ST, MILWAUKEE, WI",43.005364,-87.930637,False
"2172 W FOREST HOME AV,MKE","2172 W FOREST HOME AV, MILWAUKEE, WI",43.005169,-87.940917,False
"2920 N VEL R PHILLIPS AV,MKE","2920 N VEL R PHILLIPS AV, MILWAUKEE, WI",43.011264,-87.958409,False
