ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
183092908-Service in Progress,183092908,2018-11-05 23:29:05,"2518 S 28TH ST,MKE",2,TRBL W/SUBJ-DV,Service in Progress
183092925-Assignment Completed,183092925,2018-11-05 23:29:02,"3626 W FOND DU LAC AV,MKE",7,REPORTS,Assignment Completed
183092924-Service in Progress,183092924,2018-11-05 23:28:50,"2333 N 49TH ST,MKE",3,PRISONER TRANS,Service in Progress
183092922-Unable to Locate Complainant,183092922,2018-11-05 23:28:29,"104 W MAPLE ST,MKE",2,INJ PERSON/SICK,Unable to Locate Complainant
183092921-Service in Progress,183092921,2018-11-05 23:26:56,"N 20TH ST / W FOND DU LAC AV,MKE",3,ACC PI,Service in Progress
183092920-Service in Progress,183092920,2018-11-05 23:25:53,"N 35TH ST / W WISCONSIN AV,MKE",3,WELFARE CITIZEN,Service in Progress
183092894-Assignment Completed,183092894,2018-11-05 23:12:00,"2624 N 28TH ST,MKE",3,FAMILY TROUBL-DV,Assignment Completed
183092875-Assignment Completed,183092875,2018-11-05 23:01:40,"4115 N 56TH ST,MKE",7,PARK AND WALK,Assignment Completed
183092873-Assignment Completed,183092873,2018-11-05 23:00:57,"3006 S 27TH ST,MKE",6,REPORTS,Assignment Completed
183092863-To be Filed,183092863,2018-11-05 22:54:54,"4715 W VLIET ST,MKE",3,REPORTS,To be Filed
183092858-To be Filed,183092858,2018-11-05 22:52:27,"2920 N VEL R PHILLIPS AV,MKE",5,INVESTIGATION,To be Filed
183092915-Service in Progress,183092915,2018-11-05 23:34:48,"761 N 29TH ST,MKE",3,TRBL W/SUBJ,Service in Progress
183092932-Assignment Completed,183092932,2018-11-05 23:34:40,"6929 W SILVER SPRING DR,MKE",4,RETURN STATION,Assignment Completed
183092931-Service in Progress,183092931,2018-11-05 23:34:11,"6929 W SILVER SPRING DR,MKE",4,POLICE ADMIN,Service in Progress
183092930-Assignment Completed,183092930,2018-11-05 23:34:02,"5328 W BLUE MOUND RD,MKE",3,TAVERN CHECK,Assignment Completed
183092928-Service in Progress,183092928,2018-11-05 23:32:21,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Service in Progress
183092909-Assignment Completed,183092909,2018-11-05 23:17:28,"N 33RD ST / W AUER AV,MKE",7,PARK AND WALK,Assignment Completed
183092934-Unable to Locate Complainant,183092934,2018-11-05 23:36:51,"N 26TH ST / W CONCORDIA AV,MKE",5,FIGHT,Unable to Locate Complainant
183092937-Service in Progress,183092937,2018-11-05 23:36:32,"2720 W TOWNSEND ST,MKE",5,SUBJ STOP,Service in Progress
183092936-Advised,183092936,2018-11-05 23:36:10,"4825 W CAPITOL DR,MKE",7,TRAFFIC STOP,Advised
183092935-Assignment Completed,183092935,2018-11-05 23:36:00,"N 1ST ST / E RING ST,MKE",5,INVESTIGATION,Assignment Completed
183092928-Assignment Completed,183092928,2018-11-05 23:32:21,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
183092908-Advised,183092908,2018-11-05 23:29:05,"2518 S 28TH ST,MKE",2,TRBL W/SUBJ-DV,Advised
