,ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status,Cleaned_Location,Coordinates,Error_Logging
0,182612756-Assignment Completed,182612756,2018-09-18 23:27:06,"2333 N 49TH ST,MKE",3,PROPERTY PICKUP,Assignment Completed,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
1,182612754-Advised,182612754,2018-09-18 23:26:35,"3022 W WISCONSIN AV,MKE",3,WELFARE CITIZEN,Advised,"3022 W WISCONSIN AV,MILWAUKEE","{'lat': 43.039563, 'lng': -87.952259}",
2,182612753-Service in Progress,182612753,2018-09-18 23:26:32,"10130 W APPLETON AV,MKE",4,BUSINESS CHECK,Service in Progress,"10130 W APPLETAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
3,182612742-Service in Progress,182612742,2018-09-18 23:26:10,"W NATIONAL AV / S CESAR E CHAVEZ DR,MKE",2,WELFARE CITIZEN,Service in Progress,"W NATIONAL AVE & S CESAR E CHAVEZ DR, MILWAUKEE, WI","{'lat': 43.02299, 'lng': -87.932991}",
4,182612713-Advised/Referral,182612713,2018-09-18 23:23:31,"2766 N 44TH ST,MKE",7,BATTERY DV,Advised/Referral,"2766 N 44TH ST, MILWAUKEE, WI","{'lat': 43.069363, 'lng': -87.968351}",
5,182612743-Assignment Completed,182612743,2018-09-18 23:22:13,"2522 N 50TH ST,MKE",3,FIRE,Assignment Completed,"2522 N 50TH ST, MILWAUKEE, WI","{'lat': 43.064838, 'lng': -87.975794}",
6,182612730-Assignment Completed,182612730,2018-09-18 23:14:37,"E CAPITOL DR / N HUMBOLDT BL,MKE",5,INVESTIGATION,Assignment Completed,"E CAPITOL DR & N HUMBOLDT BL, MILWAUKEE, WI","{'lat': 43.089047, 'lng': -87.89117}",
7,182612695-To be Filed,182612695,2018-09-18 23:14:33,"6527 W FLORIST AV,MKE",4,TRBL W/SUBJ,To be Filed,"6527 W FLORIST AV, MILWAUKEE, WI","{'lat': 43.126423, 'lng': -87.993062}",
8,182612725-Unable to Locate Complainant,182612725,2018-09-18 23:12:00,"621 N 9TH ST,MKE",1,CALL FOR POLICE,Unable to Locate Complainant,"621 N 9TH ST, MILWAUKEE, WI","{'lat': 43.025091, 'lng': -87.922681}",
9,182612702-Assignment Completed,182612702,2018-09-18 22:58:31,"N 37TH ST / W NORTH AV,MKE",3,INVESTIGATION,Assignment Completed,"N 37TH ST & W NORTH AV, MILWAUKEE, WI","{'lat': 43.059244, 'lng': -87.959921}",
10,182612554-Advised,182612554,2018-09-18 22:57:01,"1225 W LINCOLN AV,MKE",2,THEFT,Advised,"1225 W LINCOLN AV,MILWAUKEE","{'lat': 43.002471, 'lng': -87.928088}",
11,182612749-Assignment Completed,182612749,2018-09-18 23:35:00,"3459 N HUBBARD ST,MKE",5,SUSP PERS/AUTO,Assignment Completed,"3459 N HUBBARD ST, MILWAUKEE, WI","{'lat': 43.081519, 'lng': -87.908728}",
12,182612762-Service in Progress,182612762,2018-09-18 23:33:22,"7924 W APPLETON AV,MKE",7,BATTERY DV,Service in Progress,"7924 W APPLETAV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}",
13,182612766-Service in Progress,182612766,2018-09-18 23:31:43,"N 107TH ST / W BROWN DEER RD,MKE",4,RECKLESS VEHICLE,Service in Progress,"N 107TH ST & W BROWN DEER RD, MILWAUKEE, WI","{'lat': 43.177491, 'lng': -88.044156}",
14,182612765-Assignment Completed,182612765,2018-09-18 23:31:04,"3006 S 27TH ST,MKE",6,RETURN STATION,Assignment Completed,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
15,182612755-To be Filed,182612755,2018-09-18 23:30:20,"1719 W KEEFE AV,MKE",5,SHOTSPOTTER,To be Filed,"1719 W KEEFE AV, MILWAUKEE, WI","{'lat': 43.081539, 'lng': -87.932766}",
16,182612753-Assignment Completed,182612753,2018-09-18 23:26:32,"10130 W APPLETON AV,MKE",4,BUSINESS CHECK,Assignment Completed,"10130 W APPLETAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
17,182612746-Assignment Completed,182612746,2018-09-18 23:22:58,"2393 N 14TH ST,MKE",3,BATTERY DV,Assignment Completed,"2393 N 14TH ST, MILWAUKEE, WI","{'lat': 43.062273, 'lng': -87.930251}",
18,182612743-Open Investigation,182612743,2018-09-18 23:22:13,"2522 N 50TH ST,MKE",3,FIRE,Open Investigation,"2522 N 50TH ST, MILWAUKEE, WI","{'lat': 43.064838, 'lng': -87.975794}",
19,182612735-To be Filed,182612735,2018-09-18 23:16:27,"3006 S 27TH ST,MKE",6,REPORTS,To be Filed,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
20,182612686-Advised,182612686,2018-09-18 23:12:45,"6700 W APPLETON AV,MKE",7,FAMILY TROUBL-DV,Advised,"6700 W APPLETAV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}",
21,182612700-Assignment Completed,182612700,2018-09-18 23:07:14,"3959 N 19TH PL,MKE",5,ENTRY,Assignment Completed,"3959 N 19TH PL,MILWAUKEE","{'lat': 43.089102, 'lng': -87.935992}",
22,182612608-City Citation(s) Issued,182612608,2018-09-18 22:45:49,"6120 W SILVER SPRING DR,MKE",4,THEFT,City Citation(s) Issued,"6120 W SILVER SPRING DR, MILWAUKEE, WI","{'lat': 43.119722, 'lng': -87.987903}",
23,182612763-Service in Progress,182612763,2018-09-18 23:39:21,"S 23RD ST / W LAYTON AV,MKE",6,TRBL W/SUBJ,Service in Progress,"S 23RD ST & W LAYTAV, MILWAUKEE, WI","{'lat': 42.95936, 'lng': -87.943641}",
24,182612781-Assignment Completed,182612781,2018-09-18 23:38:40,"350 N PLANKINTON AV,MKE",1,BUSINESS CHECK,Assignment Completed,"350 N PLANKINTAV,MILWAUKEE","{'lat': 43.034331, 'lng': -87.91083}",
25,182612770-Service in Progress,182612770,2018-09-18 23:38:34,"7839 W BECKETT AV,MKE",7,BATTERY DV,Service in Progress,"7839 W BECKETT AV, MILWAUKEE, WI","{'lat': 43.099703, 'lng': -88.010702}",
26,182612780-Assignment Completed,182612780,2018-09-18 23:38:07,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
27,182612779-Service in Progress,182612779,2018-09-18 23:38:02,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Service in Progress,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
28,182612776-Service in Progress,182612776,2018-09-18 23:36:49,"245 W LINCOLN AV,MKE",2,RETURN STATION,Service in Progress,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
29,182612766-Unable to Locate Complainant,182612766,2018-09-18 23:31:43,"N 107TH ST / W BROWN DEER RD,MKE",4,RECKLESS VEHICLE,Unable to Locate Complainant,"N 107TH ST & W BROWN DEER RD, MILWAUKEE, WI","{'lat': 43.177491, 'lng': -88.044156}",
30,182612618-Unable to Locate Complainant,182612618,2018-09-18 23:11:35,"5902 N 61ST ST,MKE",4,SUBJ WANTED,Unable to Locate Complainant,"5902 N 61ST ST, MILWAUKEE, WI","{'lat': 43.124959, 'lng': -87.986789}",
31,182612796-Service in Progress,182612796,2018-09-18 23:44:18,"908 W GREENFIELD AV,MKE",2,SHOTSPOTTER,Service in Progress,"908 W GREENFIELD AV, MILWAUKEE, WI","{'lat': 43.017319, 'lng': -87.922819}",
32,182612797-Assignment Completed,182612797,2018-09-18 23:43:49,"2920 N 4TH ST,MKE",5,OUT OF SERVICE,Assignment Completed,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
33,182612718-Service in Progress,182612718,2018-09-18 23:43:08,"915 S 18TH ST,MKE",2,TRBL W/SUBJ-DV,Service in Progress,"915 S 18TH ST, MILWAUKEE, WI","{'lat': 43.021583, 'lng': -87.935839}",
34,182612790-Service in Progress,182612790,2018-09-18 23:43:07,"200 N 35TH ST,MKE",3,SHOOTING,Service in Progress,"200 N 35TH ST,MILWAUKEE","{'lat': 43.032907, 'lng': -87.957295}",
35,182612793-Assignment Completed,182612793,2018-09-18 23:42:46,"350 N PLANKINTON AV,MKE",1,BUSINESS CHECK,Assignment Completed,"350 N PLANKINTAV,MILWAUKEE","{'lat': 43.034331, 'lng': -87.91083}",
36,182612767-Unable to Locate Complainant,182612767,2018-09-18 23:42:40,"9201 N JADAM LA,MKE",4,WELFARE CITIZEN,Unable to Locate Complainant,"9201 N JADAM LA, MILWAUKEE, WI","{'lat': 43.184985, 'lng': -88.014708}",
37,182612791-Service in Progress,182612791,2018-09-18 23:42:25,"2920 N 4TH ST,MKE",5,ASSIGNMENT,Service in Progress,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
38,182612786-Assignment Completed,182612786,2018-09-18 23:41:30,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
39,182612625-Service in Progress,182612625,2018-09-18 23:41:23,"N 60TH ST / W BURLEIGH ST,MKE",7,TRAFFIC HAZARD,Service in Progress,"N 60TH ST & W BURLEIGH ST,MILWAUKEE","{'lat': 43.073512, 'lng': -87.987358}",
40,182612784-Service in Progress,182612784,2018-09-18 23:40:22,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Service in Progress,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
41,182612802-Assignment Completed,182612802,2018-09-18 23:49:41,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
42,182612801-Advised,182612801,2018-09-18 23:49:35,"524 N WATER ST,MKE",1,BATTERY,Advised,"524 N WATER ST, MILWAUKEE, WI","{'lat': 43.03682, 'lng': -87.90843}",
43,182612787-Service in Progress,182612787,2018-09-18 23:49:21,"4340 N 19TH PL,MKE",5,FIGHT,Service in Progress,"4340 N 19TH PL, MILWAUKEE, WI","{'lat': 43.09622, 'lng': -87.93507}",
44,182612792-Service in Progress,182612792,2018-09-18 23:46:18,"3016 E NEWPORT CT,MKE",1,BURG/AUD RESI,Service in Progress,"3016 E NEWPORT CT, MILWAUKEE, WI","{'lat': 43.078513, 'lng': -87.871624}",
45,182612799-Assignment Completed,182612799,2018-09-18 23:45:38,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
46,182612784-Assignment Completed,182612784,2018-09-18 23:40:22,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
47,182612779-Assignment Completed,182612779,2018-09-18 23:38:02,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
48,182612776-Assignment Completed,182612776,2018-09-18 23:36:49,"245 W LINCOLN AV,MKE",2,RETURN STATION,Assignment Completed,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
49,182612688-To be Filed,182612688,2018-09-18 23:17:54,"4635 S 20TH ST,MKE",6,ENTRY AUTOS,To be Filed,"4635 S 20TH ST, MILWAUKEE, WI","{'lat': 42.960449, 'lng': -87.939634}",
50,182612804-Service in Progress,182612804,2018-09-18 23:53:34,"2840 N 39TH ST,MKE",7,ENTRY,Service in Progress,"2840 N 39TH ST, MILWAUKEE, WI","{'lat': 43.070621, 'lng': -87.961729}",
51,182612806-Service in Progress,182612806,2018-09-18 23:53:04,"231 E BUFFALO ST,MKE",1,BUSINESS CHECK,Service in Progress,"231 E BUFFALO ST, MILWAUKEE, WI","{'lat': 43.03344, 'lng': -87.907911}",
52,182612803-Service in Progress,182612803,2018-09-18 23:51:10,"200 E BUFFALO ST,MKE",1,PARK AND WALK,Service in Progress,"200 E BUFFALO ST, MILWAUKEE, WI","{'lat': 43.033882, 'lng': -87.909048}",
53,182612774-Service in Progress,182612774,2018-09-18 23:59:35,"1831 W NATIONAL AV,MKE",2,THEFT,Service in Progress,"1831 W NATIONAL AV,MILWAUKEE","{'lat': 43.022486, 'lng': -87.936425}",
54,182612787-Assignment Completed,182612787,2018-09-18 23:49:21,"4340 N 19TH PL,MKE",5,FIGHT,Assignment Completed,"4340 N 19TH PL, MILWAUKEE, WI","{'lat': 43.09622, 'lng': -87.93507}",
55,182612796-Unable to Locate Complainant,182612796,2018-09-18 23:44:18,"908 W GREENFIELD AV,MKE",2,SHOTSPOTTER,Unable to Locate Complainant,"908 W GREENFIELD AV, MILWAUKEE, WI","{'lat': 43.017319, 'lng': -87.922819}",
56,182612763-Advised,182612763,2018-09-18 23:39:21,"S 23RD ST / W LAYTON AV,MKE",6,TRBL W/SUBJ,Advised,"S 23RD ST & W LAYTAV, MILWAUKEE, WI","{'lat': 42.95936, 'lng': -87.943641}",
57,182612719-To be Filed,182612719,2018-09-18 23:09:20,"749 W STATE ST,MKE",1,BATTERY,To be Filed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
58,182612814-Service in Progress,182612814,2018-09-19 00:04:44,"N 12TH ST / W ATKINSON AV,MKE",5,BATTERY,Service in Progress,"N 12TH ST & W ATKINSAV, MILWAUKEE, WI","{'lat': 43.085031, 'lng': -87.92598}",
59,182620005-Assignment Completed,182620005,2018-09-19 00:04:36,"2759 S KINNICKINNIC AV,MKE",6,BUSINESS CHECK,Assignment Completed,"2759 S KINNICKINNIC AV,MILWAUKEE","{'lat': 42.994556, 'lng': -87.89455}",
60,182620002-Assignment Completed,182620002,2018-09-19 00:02:42,"6680 N TEUTONIA AV,MKE",4,RETURN STATION,Assignment Completed,"6680 N TEUTONIA AV,MILWAUKEE","{'lat': 43.139111, 'lng': -87.952424}",
61,182612804-Advised/Referral,182612804,2018-09-18 23:53:34,"2840 N 39TH ST,MKE",7,ENTRY,Advised/Referral,"2840 N 39TH ST, MILWAUKEE, WI","{'lat': 43.070621, 'lng': -87.961729}",
62,182612773-Service in Progress,182612773,2018-09-19 00:07:48,"2237 N HOLTON ST,MKE",5,CALL FOR POLICE,Service in Progress,"2237 N HOLTST,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
63,182612816-Service in Progress,182612816,2018-09-19 00:07:38,"1520 S 26TH ST,MKE",2,SHOTS FIRED,Service in Progress,"1520 S 26TH ST, MILWAUKEE, WI","{'lat': 43.01544, 'lng': -87.945939}",
64,182612815-Advised,182612815,2018-09-19 00:06:29,"S 27TH ST / W BOLIVAR AV,MKE",6,INJ PERSON/SICK,Advised,"S 27TH ST & W BOLIVAR AV, MILWAUKEE, WI","{'lat': 42.966647, 'lng': -87.94847}",
65,182612750-Service in Progress,182612750,2018-09-19 00:05:46,"2301 N LAKE DR,MKE",1,BATTERY DV,Service in Progress,"2301 N LAKE DR,MILWAUKEE","{'lat': 43.061285, 'lng': -87.880087}",
66,182612642-Service in Progress,182612642,2018-09-19 00:14:15,"3654 N 39TH ST,MKE",7,CALL FOR POLICE,Service in Progress,"3654 N 39TH ST, MILWAUKEE, WI","{'lat': 43.083922, 'lng': -87.962054}",
67,182612811-Service in Progress,182612811,2018-09-19 00:13:14,"5000 N 84TH ST,MKE",7,ACC PI,Service in Progress,"5000 N 84TH ST, MILWAUKEE, WI","{'lat': 43.108774, 'lng': -88.01549}",
68,182612772-Unable to Locate Complainant,182612772,2018-09-19 00:11:51,"3135 N OAKLAND AV,MKE",1,THEFT,Unable to Locate Complainant,"3135 N OAKLAND AV, MILWAUKEE, WI","{'lat': 43.075439, 'lng': -87.888133}",
69,182612714-Advised,182612714,2018-09-19 00:11:21,"708 E JUNEAU AV,MKE",1,TRBL W/SUBJ,Advised,"708 E JUNEAU AV,MILWAUKEE","{'lat': 43.046008, 'lng': -87.903048}",
70,182620016-Service in Progress,182620016,2018-09-19 00:10:43,"3006 S 27TH ST,MKE",6,CONVEY PROPERTY,Service in Progress,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
71,182612787-Advised/Referral,182612787,2018-09-18 23:49:21,"4340 N 19TH PL,MKE",5,FIGHT,Advised/Referral,"4340 N 19TH PL, MILWAUKEE, WI","{'lat': 43.09622, 'lng': -87.93507}",
72,182612718-Advised,182612718,2018-09-18 23:43:08,"915 S 18TH ST,MKE",2,TRBL W/SUBJ-DV,Advised,"915 S 18TH ST, MILWAUKEE, WI","{'lat': 43.021583, 'lng': -87.935839}",
73,182620032-Service in Progress,182620032,2018-09-19 00:19:49,"N 77TH ST / W GREEN TREE RD,MKE",4,BATTERY,Service in Progress,"N 77TH ST & W GREEN TREE RD, MILWAUKEE, WI","{'lat': 43.141438, 'lng': -88.006478}",
74,182620006-Unable to Locate Complainant,182620006,2018-09-19 00:19:12,"1671 N 38TH ST,MKE",3,CALL FOR POLICE,Unable to Locate Complainant,"1671 N 38TH ST, MILWAUKEE, WI","{'lat': 43.052124, 'lng': -87.961726}",
75,182620023-Unable to Locate Complainant,182620023,2018-09-19 00:18:48,"1512 N 12TH LA,MKE",3,CALL FOR POLICE,Unable to Locate Complainant,"1512 N 12TH LA, MILWAUKEE, WI","{'lat': 43.015649, 'lng': -87.926311}",
76,182620031-Assignment Completed,182620031,2018-09-19 00:18:24,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
77,182620030-Service in Progress,182620030,2018-09-19 00:18:17,"749 W STATE ST,MKE",1,SPECIAL ASSIGN,Service in Progress,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
