Nature,14.0,8.0,3.0,7.0,10.0,4.0,6.0,13.0,5.0,1.0,0.0,11.0,nan,9.0,12.0,2.0,Total
All,12723,20480,16563,8994,25147,17891,8305,3641,10725,13248,7282,10986,0,25761,12856,7138,205227
BUSINESS CHECK,1935,1388,2113,3476,3327,940,1736,829,1330,1790,1048,2721,0,2304,1909,3175,30879
TRAFFIC STOP,642,810,786,669,1624,1667,282,339,1134,1107,580,652,0,1052,263,380,12187
RETURN STATION,2452,3061,3122,26,2573,2547,865,0,176,974,7,20,0,1716,2603,18,20535
TRBL W/SUBJ,476,830,538,762,1243,734,242,352,923,772,431,916,0,1973,394,361,11059
PATROL,412,330,603,359,976,144,243,154,134,801,1045,593,0,317,380,351,7004
FOLLOW UP,432,663,451,254,932,633,385,137,328,294,223,284,0,1098,468,122,6823
INVESTIGATION,163,1003,450,111,715,539,136,36,367,367,170,177,0,656,325,87,5358
REPORTS,1242,1167,1164,2,1421,1181,449,2,112,70,0,6,0,931,1221,1,8982
WELFARE CITIZEN,204,267,215,257,417,264,129,108,342,240,225,279,0,545,144,168,3853
ACC PDO,205,351,266,231,550,395,154,107,279,224,196,329,0,429,165,153,4119
SPECIAL ASSIGN,276,802,473,190,945,341,379,92,140,747,164,157,0,1322,454,96,6782
POLICE ADMIN,664,1324,663,21,1194,780,488,7,50,431,19,25,0,1308,605,19,7690
SUSP PERS/AUTO,132,174,127,114,237,158,103,75,157,112,134,181,0,197,96,142,2172
CALL FOR POLICE,58,252,118,62,199,183,71,27,202,193,121,142,0,195,37,46,1917
PARK AND WALK,45,211,60,240,589,104,216,12,193,199,67,633,0,651,115,142,3635
BATTERY,90,335,178,132,323,298,94,78,241,212,185,212,0,409,70,87,2976
THEFT,200,194,160,249,395,167,76,214,298,219,171,173,0,369,143,129,3187
ENTRY,51,200,110,87,207,176,49,25,157,142,124,139,0,139,49,63,1732
ASSIGNMENT,403,500,409,51,549,500,161,22,73,238,47,57,0,801,417,34,4326
SUBJ WANTED,53,225,172,28,215,207,53,21,187,138,103,106,0,328,91,41,2001
OUT OF SERVICE,618,666,692,0,663,711,12,0,52,11,3,1,0,680,668,4,4782
BATTERY DV,50,193,122,24,152,205,49,30,203,164,134,98,0,182,50,58,1734
INJ PERSON/SICK,109,176,110,121,271,173,52,67,140,127,81,263,0,346,94,44,2206
TRAFFIC HAZARD,99,168,170,75,227,196,97,51,120,128,184,106,0,187,71,94,2016
SHOTSPOTTER,0,331,2,0,69,162,4,0,73,91,0,75,0,41,0,0,848
